Nome,Pasta,Description,Assignee,Start Date,Due Date,Priority,Status,SKU,Bid,Scope,Type,Height,Width,Depth,Incoming,Outcoming
md6991,MLTR,SEMI FLUSH 3 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,ADL1716MBK,0.25,Quoizel,MLTR,19,16,16,,
md6992,MLTR,PENDANT 4 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,ADL2820MBK,0.25,Quoizel,MLTR,28,20.25,20.25,,
md6993,MLTR,CHANDELIER 6 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,ADL5026MBK,0.25,Quoizel,MLTR,31.5,26,26,,
md6994,MLTR,CHANDELIER 9 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,ADL5030MBK,0.25,Quoizel,MLTR,36,30,30,,
md6995,MLTR,CHANDELIER 5 LIGHTS ANTIQUE WHITE,,4/25/2022,5/20/2022,P2,MLTR,AEL5024AWH,0.25,Quoizel,MLTR,22,24,24,,
md6996,MLTR,CHANDELIER 5 LIGHTS MOTTLED BLACK,,4/25/2022,5/20/2022,P2,MLTR,AEL5024MB,0.25,Quoizel,MLTR,22,24,24,,
md6997,MLTR,CHANDELIER 5 LIGHTS LIGHT GOLD,,4/25/2022,5/20/2022,P2,MLTR,APN5026LG,0.25,Quoizel,MLTR,22.75,26,26,,
md6998,MLTR,ISLAND 6 LIGHTS LIGHT GOLD,,4/25/2022,5/20/2022,P2,MLTR,APN636LG,0.25,Quoizel,MLTR,16.5,35.5,16.5,,
md6999,MLTR,SEMI FLUSH 2 LIGHTS BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,ATB1714BN,0.25,Quoizel,MLTR,12.75,14.75,14.75,,
md7000,MLTR,SEMI FLUSH 2 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,ATB1714MBK,0.25,Quoizel,MLTR,12.75,14.75,14.75,,
md7001,MLTR,PENDANT 2 LIGHTS BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,ATB2814BN,0.25,Quoizel,MLTR,19.5,14.75,14.75,,
md7002,MLTR,PENDANT 2 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,ATB2814MBK,0.25,Quoizel,MLTR,19.5,14.75,14.75,,
md7003,MLTR,CHANDELIER 6 LIGHTS OLD BRONZE,,4/25/2022,5/20/2022,P2,MLTR,ATO5025OZ,0.25,Quoizel,MLTR,21.5,25,25,,
md7004,MLTR,ISLAND 6 LIGHTS OLD BRONZE,,4/25/2022,5/20/2022,P2,MLTR,ATO632OZ,0.25,Quoizel,MLTR,21.5,32,13.75,,
md7005,MLTR,FANDELIER 4 LIGHTS POLISHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,BAW3122PK,0.25,Quoizel,MLTR,15.75,22,22,,
md7006,MLTR,FANDELIER 4 LIGHTS WEATHERED BRASS,,4/25/2022,5/20/2022,P2,MLTR,BAW3122WS,0.25,Quoizel,MLTR,15.75,22,22,,
md7007,MLTR,MINI PENDANT 1 LIGHT OLD BRONZE,,4/25/2022,5/20/2022,P2,MLTR,BEU1506OZ,0.25,Quoizel,MLTR,11,6.75,6.75,,
md7008,MLTR,MINI PENDANT 4 LIGHTS OLD BRONZE,,4/25/2022,5/20/2022,P2,MLTR,BEU1512OZ,0.25,Quoizel,MLTR,11.75,12.75,12,,
md7009,MLTR,SEMI FLUSH 4 LIGHTS OLD BRONZE,,4/25/2022,5/20/2022,P2,MLTR,BEU1712OZ,0.25,Quoizel,MLTR,12.75,12.75,12,,
md7010,MLTR,ISLAND 8 LIGHTS OLD BRONZE,,4/25/2022,5/20/2022,P2,MLTR,BEU838OZ,0.25,Quoizel,MLTR,12.75,38,11.75,,
md7011,MLTR,CHANDELIER 6 LIGHTS BRUSHED NICKEL,,4/25/2022,5/20/2022,P2,MLTR,BGA5021BN,0.25,Quoizel,MLTR,29,24.25,24.25,,
md7012,MLTR,CHANDELIER 6 LIGHTS MATTE BLACK,,4/25/2022,5/20/2022,P2,MLTR,BGA5021MBK,0.25,Quoizel,MLTR,29,24.25,24.25,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
